"","SEX","AGE_GROUP","ACTIVITY","mean_2019","mean_2021","sd_2019","sd_2021","n_2019","n_2021","DIFF","t_test","significant"
"1","Overall","Overall","Caring for Household",24.7367659368801,24.7819789407873,71.5914864896298,74.0018902121387,9276,8956,-0.0452130039072109,0.966573313512866,"NO"
"2","Overall","Overall","Caring for Non-Household",8.013404453399,8.24527131934988,44.4792939279504,46.2186726278177,9276,8956,-0.231866865950881,0.730130398691605,"NO"
"3","Overall","Overall","Education",26.0362341526297,24.7676540880871,104.482522411655,98.6428453170655,9276,8956,1.26858006454262,0.399113507943524,"NO"
"4","Overall","Overall","Eating and Drinking",63.6865777830024,66.4786621575135,49.5851009012283,49.0685201802626,9276,8956,-2.79208437451104,0.000133245209643901,"YES"
"5","Overall","Overall","Civic Duties",0.284079742476678,0.134173704162418,5.22350670475001,3.69819073712291,9276,8956,0.149906038314259,0.0249410566261388,"YES"
"6","Overall","Overall","Household Activities",106.554645755979,116.590879274056,131.265645457394,138.769279426246,9276,8956,-10.0362335180769,5.40159526146221e-07,"YES"
"7","Overall","Overall","Household Services",0.885862949522301,1.07069095779788,10.6074896070679,11.9838372664633,9276,8956,-0.184828008275579,0.270776616143069,"NO"
"8","Overall","Overall","Personal Care",575.260983357739,580.284714827594,138.627838389259,139.092418251604,9276,8956,-5.0237314698544,0.0146132996591585,"YES"
"9","Overall","Overall","Phone Calls",6.60634392788247,9.59015572527623,26.4411709933463,34.4609347823419,9276,8956,-2.98381179739377,6.2072039629222e-11,"YES"
"10","Overall","Overall","Care Services",5.45125520708552,5.26565762614273,28.0625863728083,26.7243371607033,9276,8956,0.185597580942783,0.647384378901512,"NO"
"11","Overall","Overall","Consumer Purchasing",21.0490262215826,19.1092218793528,45.6312943895748,41.7634251740819,9276,8956,1.93980434222977,0.00273957305293934,"YES"
"12","Overall","Overall","Religious/Spiritual Activities",8.11417972746025,6.8417292735328,35.9426894636272,31.9574718486716,9276,8956,1.27245045392745,0.0114717190197217,"YES"
"13","Overall","Overall","Socializing and Leisure",275.904599941948,285.447113790069,212.162776240156,212.825203750044,9276,8956,-9.54251384812102,0.00243873159531156,"YES"
"14","Overall","Overall","Sports and Exercise",20.1370599395019,20.1026121638485,61.3965342202973,55.3652960442769,9276,8956,0.0344477756534403,0.968242644735597,"NO"
"15","Overall","Overall","Traveling",73.1694995074987,57.8182474406111,83.1613409523229,79.505735157576,9276,8956,15.3512520668876,4.93597480423122e-37,"YES"
