"","MONTH","ACTIVITY","mean_2019","mean_2021","sd_2019","sd_2021","n_2019","n_2021","DIFF","t_test","significant"
"1","Overall","Caring for Household",24.7367659368801,24.7819789407873,71.5914864896298,74.0018902121387,9276,8956,-0.0452130039072109,0.966573313512866,"NO"
"2","Overall","Caring for Non-Household",8.013404453399,8.24527131934988,44.4792939279504,46.2186726278177,9276,8956,-0.231866865950881,0.730130398691605,"NO"
"3","Overall","Education",26.0362341526297,24.7676540880871,104.482522411655,98.6428453170655,9276,8956,1.26858006454262,0.399113507943524,"NO"
"4","Overall","Eating and Drinking",63.6865777830024,66.4786621575135,49.5851009012283,49.0685201802626,9276,8956,-2.79208437451104,0.000133245209643901,"YES"
"5","Overall","Civic Duties",0.284079742476678,0.134173704162418,5.22350670475001,3.69819073712291,9276,8956,0.149906038314259,0.0249410566261388,"YES"
"6","Overall","Household Activities",106.554645755979,116.590879274056,131.265645457394,138.769279426246,9276,8956,-10.0362335180769,5.40159526146221e-07,"YES"
"7","Overall","Household Services",0.885862949522301,1.07069095779788,10.6074896070679,11.9838372664633,9276,8956,-0.184828008275579,0.270776616143069,"NO"
"8","Overall","Personal Care",575.260983357739,580.284714827594,138.627838389259,139.092418251604,9276,8956,-5.0237314698544,0.0146132996591585,"YES"
"9","Overall","Phone Calls",6.60634392788247,9.59015572527623,26.4411709933463,34.4609347823419,9276,8956,-2.98381179739377,6.2072039629222e-11,"YES"
"10","Overall","Care Services",5.45125520708552,5.26565762614273,28.0625863728083,26.7243371607033,9276,8956,0.185597580942783,0.647384378901512,"NO"
"11","Overall","Consumer Purchasing",21.0490262215826,19.1092218793528,45.6312943895748,41.7634251740819,9276,8956,1.93980434222977,0.00273957305293934,"YES"
"12","Overall","Religious/Spiritual Activities",8.11417972746025,6.8417292735328,35.9426894636272,31.9574718486716,9276,8956,1.27245045392745,0.0114717190197217,"YES"
"13","Overall","Socializing and Leisure",275.904599941948,285.447113790069,212.162776240156,212.825203750044,9276,8956,-9.54251384812102,0.00243873159531156,"YES"
"14","Overall","Sports and Exercise",20.1370599395019,20.1026121638485,61.3965342202973,55.3652960442769,9276,8956,0.0344477756534403,0.968242644735597,"NO"
"15","Overall","Traveling",73.1694995074987,57.8182474406111,83.1613409523229,79.505735157576,9276,8956,15.3512520668876,4.93597480423122e-37,"YES"
"16","Overall","Volunteering",7.65293205777631,5.45346571609539,42.3984996764186,37.1912575448437,9276,8956,2.19946634168093,0.000194226981091869,"YES"
"17","Overall","Work",202.903066199247,198.962989260729,256.533260724539,256.57453171423,9276,8956,3.9400769385183,0.299897659948745,"NO"
"18","1","Caring for Household",21.6252933944571,25.5392050761609,64.9304005823732,71.4139593169112,819,974,-3.9139116817038,0.224679789086025,"NO"
"19","1","Caring for Non-Household",5.87441487151348,5.97185295171778,32.3372057820404,37.3757449902505,819,974,-0.0974380802043049,0.95281681183713,"NO"
"20","1","Education",34.8463429072379,37.2920848426139,117.153813742895,128.352987872634,819,974,-2.44574193537593,0.673458480962611,"NO"
"21","1","Eating and Drinking",63.8710766733274,63.2263152263631,52.9222459395577,42.1021251263928,819,974,0.644761446964274,0.77823034441565,"NO"
"22","1","Civic Duties",0.328490240074047,0.435553789768146,7.1129457493884,7.84762752970663,819,974,-0.107063549694099,0.762065502058194,"NO"
"23","1","Household Activities",97.2686377290784,109.44460038664,126.808871848615,130.933621532303,819,974,-12.1759626575614,0.0461563203277014,"YES"
"24","1","Household Services",0.390059800862007,0.542615961898887,3.57916168135195,7.90673142729742,819,974,-0.152556161036879,0.589315292305327,"NO"
"25","1","Personal Care",581.090422184727,592.546291981711,131.640829192692,142.72562008305,819,974,-11.4558697969837,0.0775450413887612,"NO"
"26","1","Phone Calls",6.98275227913471,12.2677713924422,25.953612561825,36.210301008937,819,974,-5.28501911330746,0.000341319973702441,"YES"
"27","1","Care Services",5.65851953104129,5.84400273137219,26.064111185142,32.2856393438613,819,974,-0.185483200330895,0.892962496215052,"NO"
"28","1","Consumer Purchasing",18.4765014305266,15.8151508576431,41.6901664309966,34.6298047105747,819,974,2.66135057288355,0.146334989225414,"NO"
"29","1","Religious/Spiritual Activities",11.4239658496934,7.6138043785617,51.6236087025974,33.4146016937119,819,974,3.81016147113174,0.0695360847848328,"NO"
"30","1","Socializing and Leisure",277.034334703064,306.765654778359,209.515846157315,221.624998868399,819,974,-29.7313200752955,0.00360146927926065,"YES"
"31","1","Sports and Exercise",15.6047353402734,14.1367989818979,47.9765162428166,39.7879505969403,819,974,1.46793635837553,0.485914982825894,"NO"
"32","1","Traveling",70.3175154691803,45.0286762617157,74.048730164504,65.8198318112992,819,974,25.2888392074647,5.90712106558956e-14,"YES"
"33","1","Volunteering",6.97147995107005,5.72795153970168,41.9016387069103,37.1923594469316,819,974,1.24352841136837,0.510179035550931,"NO"
"34","1","Work",209.322884708616,182.561693815775,253.66412131487,248.827836174326,819,974,26.7611908928405,0.024914161748627,"YES"
"35","2","Caring for Household",26.2666541591801,23.9716637063129,86.3377051888781,76.6964724000808,737,805,2.29499045286718,0.582510797879376,"NO"
"36","2","Caring for Non-Household",10.6090963910472,6.64601301420887,66.3537203690608,42.5922280376882,737,805,3.96308337683834,0.167328069665754,"NO"
