"","DATE","ACTIVITY","mean","sd","n"
"1",2020-01-01,"Caring for Household",9.87435667345552,37.1966750252771,22
"2",2020-01-01,"Caring for Non-Household",0.646730490624695,4.35702357750901,22
"3",2020-01-01,"Education",0,0,22
"4",2020-01-01,"Eating and Drinking",62.5032671068069,49.4183200228378,22
"5",2020-01-01,"Civic Duties",0,0,22
"6",2020-01-01,"Household Activities",123.819428546334,124.615559017235,22
"7",2020-01-01,"Household Services",0,0,22
"8",2020-01-01,"Personal Care",601.156350414187,99.0694538200434,22
"9",2020-01-01,"Phone Calls",4.95845900968983,20.9659405369164,22
"10",2020-01-01,"Care Services",7.7925043632754,24.4035120910032,22
"11",2020-01-01,"Consumer Purchasing",14.6452008322267,31.4377082254874,22
"12",2020-01-01,"Religious/Spiritual Activities",0.305319499121423,1.80701259119968,22
"13",2020-01-01,"Socializing and Leisure",291.491888107523,162.648290429791,22
"14",2020-01-01,"Sports and Exercise",6.23133829953455,20.7007438731192,22
"15",2020-01-01,"Traveling",60.157325878829,69.6582981252177,22
"16",2020-01-01,"Volunteering",5.8018590614654,24.5874547324782,22
"17",2020-01-01,"Work",230.011007363187,243.750213424335,22
"18",2020-01-02,"Caring for Household",3.27299156460349,8.76159997848673,12
"19",2020-01-02,"Caring for Non-Household",0,0,12
"20",2020-01-02,"Education",0,0,12
"21",2020-01-02,"Eating and Drinking",57.575546334362,26.3675369600084,12
"22",2020-01-02,"Civic Duties",0,0,12
"23",2020-01-02,"Household Activities",64.7146654943946,64.2401814880991,12
"24",2020-01-02,"Household Services",0,0,12
"25",2020-01-02,"Personal Care",539.441017307322,116.358026512051,12
"26",2020-01-02,"Phone Calls",15.2958189966024,31.0268594099232,12
"27",2020-01-02,"Care Services",7.78290464580961,18.3051541089269,12
"28",2020-01-02,"Consumer Purchasing",23.6817018617203,29.7607789121544,12
"29",2020-01-02,"Religious/Spiritual Activities",7.12489144988206,23.5360863690469,12
"30",2020-01-02,"Socializing and Leisure",353.909078782695,180.770032396744,12
"31",2020-01-02,"Sports and Exercise",11.1244159370331,27.3101925045407,12
"32",2020-01-02,"Traveling",74.6780252629156,45.4019725348061,12
"33",2020-01-02,"Volunteering",20.5314013085739,75.6131641265645,12
"34",2020-01-02,"Work",253.788132903325,251.780120436731,12
"35",2020-01-03,"Caring for Household",24.7752970811104,86.2335922458352,60
"36",2020-01-03,"Caring for Non-Household",8.04299792251478,32.0746549008454,60
"37",2020-01-03,"Education",5.86405660467786,28.5582128879859,60
"38",2020-01-03,"Eating and Drinking",55.8084359486647,48.1741210325959,60
"39",2020-01-03,"Civic Duties",0.0886573688972327,0.659868711670249,60
"40",2020-01-03,"Household Activities",162.417484015141,164.012776564143,60
"41",2020-01-03,"Household Services",3.55571672561534,18.6651507621789,60
"42",2020-01-03,"Personal Care",654.527113474392,197.155240915601,60
"43",2020-01-03,"Phone Calls",10.4393793517256,33.1401585135527,60
"44",2020-01-03,"Care Services",5.30242283926977,16.7130922626044,60
"45",2020-01-03,"Consumer Purchasing",20.2722654297683,37.5588790712896,60
"46",2020-01-03,"Religious/Spiritual Activities",0,0,60
"47",2020-01-03,"Socializing and Leisure",339.525238127721,201.102053388707,60
"48",2020-01-03,"Sports and Exercise",29.9329770970424,60.3263667006819,60
"49",2020-01-03,"Traveling",54.2855222901189,69.8550621894834,60
"50",2020-01-03,"Volunteering",0,0,60
"51",2020-01-03,"Work",58.1589947961229,171.233674937628,60
"52",2020-01-04,"Caring for Household",12.5602236421075,34.2594978384496,48
"53",2020-01-04,"Caring for Non-Household",5.30027473364702,26.5628564305116,48
"54",2020-01-04,"Education",5.49099388240059,24.8012851812397,48
"55",2020-01-04,"Eating and Drinking",75.6753020147853,48.1862764214365,48
"56",2020-01-04,"Civic Duties",0,0,48
"57",2020-01-04,"Household Activities",105.531101597643,132.664005277628,48
"58",2020-01-04,"Household Services",0,0,48
"59",2020-01-04,"Personal Care",675.130010043791,188.598016130557,48
"60",2020-01-04,"Phone Calls",2.79127884692353,9.84142180260974,48
"61",2020-01-04,"Care Services",0,0,48
"62",2020-01-04,"Consumer Purchasing",14.037300432734,25.3438401030963,48
"63",2020-01-04,"Religious/Spiritual Activities",66.3275381762205,97.0839774025696,48
