"","DATE","ACTIVITY","mean","sd","n","day_of_week"
"1",2019-01-01,"Caring for Household",20.6670482528635,71.0723064384495,20,"Tuesday"
"2",2019-01-01,"Caring for Non-Household",1.13686292454341,7.06161273803735,20,"Tuesday"
"3",2019-01-01,"Education",0.587503576699337,2.7004418284502,20,"Tuesday"
"4",2019-01-01,"Eating and Drinking",72.3110022187107,42.1705116882049,20,"Tuesday"
"5",2019-01-01,"Civic Duties",6.92494383391095,34.6198649189911,20,"Tuesday"
"6",2019-01-01,"Household Activities",100.936912481882,120.976017255152,20,"Tuesday"
"7",2019-01-01,"Household Services",0,0,20,"Tuesday"
"8",2019-01-01,"Personal Care",659.459921722356,170.277002360088,20,"Tuesday"
"9",2019-01-01,"Phone Calls",0.755450880998304,4.70030004044731,20,"Tuesday"
"10",2019-01-01,"Care Services",3.13629894838883,13.4874611846299,20,"Tuesday"
"11",2019-01-01,"Consumer Purchasing",21.6515520687709,39.5429539491275,20,"Tuesday"
"12",2019-01-01,"Religious/Spiritual Activities",13.4515272580715,51.8186644974172,20,"Tuesday"
"13",2019-01-01,"Socializing and Leisure",222.946889878759,152.443639949905,20,"Tuesday"
"14",2019-01-01,"Sports and Exercise",7.27222581962945,21.2692771373252,20,"Tuesday"
"15",2019-01-01,"Traveling",79.6307670630717,63.3486029451116,20,"Tuesday"
"16",2019-01-01,"Volunteering",6.88996872225716,25.4422343619303,20,"Tuesday"
"17",2019-01-01,"Work",203.933079158755,229.924393070886,20,"Tuesday"
"18",2019-01-02,"Caring for Household",16.6239137878531,76.3366637518283,17,"Wednesday"
"19",2019-01-02,"Caring for Non-Household",12.0684645337926,39.7816018037511,17,"Wednesday"
"20",2019-01-02,"Education",86.5768239664894,191.36505559498,17,"Wednesday"
"21",2019-01-02,"Eating and Drinking",40.7473389769566,26.2498645412443,17,"Wednesday"
"22",2019-01-02,"Civic Duties",0,0,17,"Wednesday"
"23",2019-01-02,"Household Activities",39.5058398853042,51.0989413234464,17,"Wednesday"
