"","OCC_GROUP","MONTH","YEAR","ACTIVITY","mean","sd","n","MONTH_YEAR"
"1","Healthcare Worker","Jan",2019,"Caring for Household",25.2724886384233,74.4526582490502,47,"Jan 2019"
"2","Healthcare Worker","Jan",2019,"Caring for Non-Household",10.639274982503,73.036682768961,47,"Jan 2019"
"3","Healthcare Worker","Jan",2019,"Education",30.7282307698367,79.2091464036489,47,"Jan 2019"
"4","Healthcare Worker","Jan",2019,"Eating and Drinking",57.957088658645,43.3768490827125,47,"Jan 2019"
"5","Healthcare Worker","Jan",2019,"Civic Duties",0,0,47,"Jan 2019"
"6","Healthcare Worker","Jan",2019,"Household Activities",70.2951268603646,87.3739089280525,47,"Jan 2019"
"7","Healthcare Worker","Jan",2019,"Household Services",2.23870853287288,6.5629599936083,47,"Jan 2019"
"8","Healthcare Worker","Jan",2019,"Personal Care",601.254315986122,118.801730359816,47,"Jan 2019"
"9","Healthcare Worker","Jan",2019,"Phone Calls",3.57425927959686,11.9612965031923,47,"Jan 2019"
"10","Healthcare Worker","Jan",2019,"Care Services",9.41770854059894,27.0359473356478,47,"Jan 2019"
"11","Healthcare Worker","Jan",2019,"Consumer Purchasing",19.204907496382,40.0800493089458,47,"Jan 2019"
"12","Healthcare Worker","Jan",2019,"Religious/Spiritual Activities",13.047469370301,49.0809332598345,47,"Jan 2019"
"13","Healthcare Worker","Jan",2019,"Socializing and Leisure",219.899949086906,187.612460017475,47,"Jan 2019"
"14","Healthcare Worker","Jan",2019,"Sports and Exercise",12.8259677154062,29.6444377340074,47,"Jan 2019"
"15","Healthcare Worker","Jan",2019,"Traveling",66.6527270681137,52.2819312457223,47,"Jan 2019"
"16","Healthcare Worker","Jan",2019,"Volunteering",3.06034957667963,18.8845885369353,47,"Jan 2019"
"17","Healthcare Worker","Jan",2019,"Work",281.421817336596,256.633910562463,47,"Jan 2019"
"18","Healthcare Worker","Jan",2021,"Caring for Household",18.4266010386341,64.9426091687321,56,"Jan 2021"
"19","Healthcare Worker","Jan",2021,"Caring for Non-Household",8.77703603334425,38.4053851310699,56,"Jan 2021"
"20","Healthcare Worker","Jan",2021,"Education",27.1818183984787,98.1242326536029,56,"Jan 2021"
"21","Healthcare Worker","Jan",2021,"Eating and Drinking",68.5438417963772,58.4324016712159,56,"Jan 2021"
"22","Healthcare Worker","Jan",2021,"Civic Duties",0,0,56,"Jan 2021"
"23","Healthcare Worker","Jan",2021,"Household Activities",92.3694376512822,109.187930352945,56,"Jan 2021"
"24","Healthcare Worker","Jan",2021,"Household Services",0,0,56,"Jan 2021"
"25","Healthcare Worker","Jan",2021,"Personal Care",577.533423648634,103.372836208594,56,"Jan 2021"
"26","Healthcare Worker","Jan",2021,"Phone Calls",5.17725517829467,18.3431970166647,56,"Jan 2021"
"27","Healthcare Worker","Jan",2021,"Care Services",4.35936523890182,14.6710078845557,56,"Jan 2021"
"28","Healthcare Worker","Jan",2021,"Consumer Purchasing",15.9796503777799,38.5398933854544,56,"Jan 2021"
"29","Healthcare Worker","Jan",2021,"Religious/Spiritual Activities",1.71990348433358,6.13274007494723,56,"Jan 2021"
"30","Healthcare Worker","Jan",2021,"Socializing and Leisure",207.087279859714,157.323647701526,56,"Jan 2021"
"31","Healthcare Worker","Jan",2021,"Sports and Exercise",8.05424784696244,23.4324479814506,56,"Jan 2021"
"32","Healthcare Worker","Jan",2021,"Traveling",73.407526070369,84.6796634425115,56,"Jan 2021"
"33","Healthcare Worker","Jan",2021,"Volunteering",2.13628801286786,16.4313662423627,56,"Jan 2021"
"34","Healthcare Worker","Jan",2021,"Work",318.843094180336,257.904753169014,56,"Jan 2021"
"35","Healthcare Worker","Feb",2019,"Caring for Household",58.9670289842745,176.452091672142,35,"Feb 2019"
"36","Healthcare Worker","Feb",2019,"Caring for Non-Household",4.30891213447588,24.4639581362374,35,"Feb 2019"
"37","Healthcare Worker","Feb",2019,"Education",83.1447111040907,215.20695983492,35,"Feb 2019"
"38","Healthcare Worker","Feb",2019,"Eating and Drinking",54.377487350772,42.4915860576702,35,"Feb 2019"
"39","Healthcare Worker","Feb",2019,"Civic Duties",0,0,35,"Feb 2019"
"40","Healthcare Worker","Feb",2019,"Household Activities",82.8646121254589,96.6068740558299,35,"Feb 2019"
"41","Healthcare Worker","Feb",2019,"Household Services",0,0,35,"Feb 2019"
"42","Healthcare Worker","Feb",2019,"Personal Care",549.54819391676,117.642417190389,35,"Feb 2019"
"43","Healthcare Worker","Feb",2019,"Phone Calls",0.519373375544973,2.35098385358221,35,"Feb 2019"
"44","Healthcare Worker","Feb",2019,"Care Services",17.0003100086677,46.034251392621,35,"Feb 2019"
"45","Healthcare Worker","Feb",2019,"Consumer Purchasing",24.6520054048372,49.9526287268286,35,"Feb 2019"
"46","Healthcare Worker","Feb",2019,"Religious/Spiritual Activities",5.08378654400279,23.1560320067724,35,"Feb 2019"
"47","Healthcare Worker","Feb",2019,"Socializing and Leisure",115.236186642289,115.419739616567,35,"Feb 2019"
"48","Healthcare Worker","Feb",2019,"Sports and Exercise",14.508649024137,38.4298658672995,35,"Feb 2019"
"49","Healthcare Worker","Feb",2019,"Traveling",87.3877036438954,72.7791844737149,35,"Feb 2019"
"50","Healthcare Worker","Feb",2019,"Volunteering",11.6828239822852,54.1109458049412,35,"Feb 2019"
"51","Healthcare Worker","Feb",2019,"Work",308.79536988282,250.341241818556,35,"Feb 2019"
"52","Healthcare Worker","Feb",2021,"Caring for Household",25.1629486548909,79.4425661243486,41,"Feb 2021"
"53","Healthcare Worker","Feb",2021,"Caring for Non-Household",8.50118035565368,42.2710931046,41,"Feb 2021"
"54","Healthcare Worker","Feb",2021,"Education",25.8312639680682,106.582317567372,41,"Feb 2021"
"55","Healthcare Worker","Feb",2021,"Eating and Drinking",59.6370018908772,44.3130357538757,41,"Feb 2021"
"56","Healthcare Worker","Feb",2021,"Civic Duties",0.214696750614489,2.52879572953546,41,"Feb 2021"
"57","Healthcare Worker","Feb",2021,"Household Activities",143.86333611176,153.162699449822,41,"Feb 2021"
"58","Healthcare Worker","Feb",2021,"Household Services",0,0,41,"Feb 2021"
"59","Healthcare Worker","Feb",2021,"Personal Care",615.955013408097,104.672175540042,41,"Feb 2021"
"60","Healthcare Worker","Feb",2021,"Phone Calls",7.80115106341704,17.4561094941432,41,"Feb 2021"
"61","Healthcare Worker","Feb",2021,"Care Services",15.5570697129161,69.7930710350729,41,"Feb 2021"
"62","Healthcare Worker","Feb",2021,"Consumer Purchasing",14.8237856739438,30.0799963217714,41,"Feb 2021"
"63","Healthcare Worker","Feb",2021,"Religious/Spiritual Activities",9.22031952424177,55.8617477271949,41,"Feb 2021"
"64","Healthcare Worker","Feb",2021,"Socializing and Leisure",189.525225889151,150.36333644289,41,"Feb 2021"
"65","Healthcare Worker","Feb",2021,"Sports and Exercise",27.0037131896925,55.7413493256809,41,"Feb 2021"
"66","Healthcare Worker","Feb",2021,"Traveling",52.196894183742,50.2996865291973,41,"Feb 2021"
"67","Healthcare Worker","Feb",2021,"Volunteering",0,0,41,"Feb 2021"
"68","Healthcare Worker","Feb",2021,"Work",238.759886796939,266.339231602725,41,"Feb 2021"
"69","Healthcare Worker","Mar",2019,"Caring for Household",41.2822965757195,75.8966060003566,42,"Mar 2019"
"70","Healthcare Worker","Mar",2019,"Caring for Non-Household",1.07655110297191,5.45330376485379,42,"Mar 2019"
"71","Healthcare Worker","Mar",2019,"Education",51.426907831238,150.528379358171,42,"Mar 2019"
"72","Healthcare Worker","Mar",2019,"Eating and Drinking",68.7749504923282,41.9190011916153,42,"Mar 2019"
"73","Healthcare Worker","Mar",2019,"Civic Duties",0,0,42,"Mar 2019"
"74","Healthcare Worker","Mar",2019,"Household Activities",79.7096609238242,107.450990747318,42,"Mar 2019"
"75","Healthcare Worker","Mar",2019,"Household Services",0.0543141251448436,0.518286216541702,42,"Mar 2019"
"76","Healthcare Worker","Mar",2019,"Personal Care",578.776319003363,135.558254427633,42,"Mar 2019"
"77","Healthcare Worker","Mar",2019,"Phone Calls",6.32344568344182,21.0203661053335,42,"Mar 2019"
"78","Healthcare Worker","Mar",2019,"Care Services",4.03117845621124,18.0074276400539,42,"Mar 2019"
"79","Healthcare Worker","Mar",2019,"Consumer Purchasing",21.025666702042,38.2941919194131,42,"Mar 2019"
"80","Healthcare Worker","Mar",2019,"Religious/Spiritual Activities",0.396845614365761,3.42751834728241,42,"Mar 2019"
"81","Healthcare Worker","Mar",2019,"Socializing and Leisure",190.688756919425,178.505404319729,42,"Mar 2019"
"82","Healthcare Worker","Mar",2019,"Sports and Exercise",15.4667846708339,43.3978528830057,42,"Mar 2019"
"83","Healthcare Worker","Mar",2019,"Traveling",90.3504556383284,81.1728154408649,42,"Mar 2019"
"84","Healthcare Worker","Mar",2019,"Volunteering",1.95352861931367,12.9775815915401,42,"Mar 2019"
"85","Healthcare Worker","Mar",2019,"Work",265.15627893075,248.719535281926,42,"Mar 2019"
"86","Healthcare Worker","Mar",2021,"Caring for Household",37.1550788090568,112.343341824695,47,"Mar 2021"
"87","Healthcare Worker","Mar",2021,"Caring for Non-Household",6.43589356624194,24.9928331464684,47,"Mar 2021"
"88","Healthcare Worker","Mar",2021,"Education",0.574531291938764,10.1531052669426,47,"Mar 2021"
"89","Healthcare Worker","Mar",2021,"Eating and Drinking",52.1514526115957,31.7686012583175,47,"Mar 2021"
"90","Healthcare Worker","Mar",2021,"Civic Duties",0,0,47,"Mar 2021"
"91","Healthcare Worker","Mar",2021,"Household Activities",126.666875845208,130.616204487421,47,"Mar 2021"
"92","Healthcare Worker","Mar",2021,"Household Services",0.777902985178315,4.76780416429672,47,"Mar 2021"
"93","Healthcare Worker","Mar",2021,"Personal Care",586.160820433728,148.840414473584,47,"Mar 2021"
"94","Healthcare Worker","Mar",2021,"Phone Calls",4.02098222833404,13.1270954249514,47,"Mar 2021"
"95","Healthcare Worker","Mar",2021,"Care Services",11.7240092519376,37.0965580279756,47,"Mar 2021"
"96","Healthcare Worker","Mar",2021,"Consumer Purchasing",16.5777315272878,30.1091520314679,47,"Mar 2021"
"97","Healthcare Worker","Mar",2021,"Religious/Spiritual Activities",16.0475340481488,67.7028555099881,47,"Mar 2021"
"98","Healthcare Worker","Mar",2021,"Socializing and Leisure",171.661343515791,148.369480969535,47,"Mar 2021"
"99","Healthcare Worker","Mar",2021,"Sports and Exercise",12.7000413213149,35.7842740237247,47,"Mar 2021"
"100","Healthcare Worker","Mar",2021,"Traveling",75.6972451816752,93.1347295840949,47,"Mar 2021"
"101","Healthcare Worker","Mar",2021,"Volunteering",1.66810322285226,12.1386458061143,47,"Mar 2021"
"102","Healthcare Worker","Mar",2021,"Work",309.551893671687,296.218758282239,47,"Mar 2021"
"103","Healthcare Worker","Apr",2019,"Caring for Household",63.5508880500049,112.504736806597,46,"Apr 2019"
"104","Healthcare Worker","Apr",2019,"Caring for Non-Household",0.45741648670603,2.89242866461609,46,"Apr 2019"
"105","Healthcare Worker","Apr",2019,"Education",1.77178189547609,12.5028460672034,46,"Apr 2019"
"106","Healthcare Worker","Apr",2019,"Eating and Drinking",64.7716806198511,60.8211896978492,46,"Apr 2019"
"107","Healthcare Worker","Apr",2019,"Civic Duties",0,0,46,"Apr 2019"
"108","Healthcare Worker","Apr",2019,"Household Activities",88.4189688148423,114.213704397527,46,"Apr 2019"
"109","Healthcare Worker","Apr",2019,"Household Services",0,0,46,"Apr 2019"
"110","Healthcare Worker","Apr",2019,"Personal Care",528.100228606464,130.759718559772,46,"Apr 2019"
"111","Healthcare Worker","Apr",2019,"Phone Calls",3.66857859747147,12.8382997956842,46,"Apr 2019"
"112","Healthcare Worker","Apr",2019,"Care Services",4.13035985866851,16.4710495273035,46,"Apr 2019"
"113","Healthcare Worker","Apr",2019,"Consumer Purchasing",20.5823538050726,50.0495116887627,46,"Apr 2019"
"114","Healthcare Worker","Apr",2019,"Religious/Spiritual Activities",17.0857766271389,51.8652106922964,46,"Apr 2019"
"115","Healthcare Worker","Apr",2019,"Socializing and Leisure",163.417293652649,124.798189693472,46,"Apr 2019"
"116","Healthcare Worker","Apr",2019,"Sports and Exercise",12.1838395085701,35.8424645852179,46,"Apr 2019"
"117","Healthcare Worker","Apr",2019,"Traveling",110.365370364397,68.4655162338377,46,"Apr 2019"
