"","MONTH","YEAR","ACTIVITY","mean"
"1","1","2020","Caring for Household",24.2457689468578
"2","1","2020","Caring for Non-Household",6.19938709927867
"3","1","2020","Education",17.891717044153
"4","1","2020","Eating and Drinking",57.2722828614549
"5","1","2020","Civic Duties",0.308151945380486
"6","1","2020","Household Activities",98.3050216058996
"7","1","2020","Household Services",1.0532189558391
"8","1","2020","Personal Care",589.293978021765
"9","1","2020","Phone Calls",4.48939970467607
"10","1","2020","Care Services",8.98908329445473
"11","1","2020","Consumer Purchasing",16.119600618039
"12","1","2020","Religious/Spiritual Activities",9.25349562642286
"13","1","2020","Socializing and Leisure",291.11479957116
"14","1","2020","Sports and Exercise",15.462409065865
"15","1","2020","Traveling",60.1116344187155
"16","1","2020","Volunteering",6.75443441174314
"17","1","2020","Work",216.497701413284
"18","2","2020","Caring for Household",30.566250392751
"19","2","2020","Caring for Non-Household",6.79344017420635
"20","2","2020","Education",39.8374777783875
"21","2","2020","Eating and Drinking",61.1350418126107
"22","2","2020","Civic Duties",0.0630729176148129
"23","2","2020","Household Activities",100.145967140171
"24","2","2020","Household Services",0.217942840999463
"25","2","2020","Personal Care",581.654722368456
"26","2","2020","Phone Calls",5.52829462405249
"27","2","2020","Care Services",7.60120869234679
"28","2","2020","Consumer Purchasing",21.9395818013602
"29","2","2020","Religious/Spiritual Activities",6.16365845498307
"30","2","2020","Socializing and Leisure",272.88977802713
"31","2","2020","Sports and Exercise",15.0392412832074
"32","2","2020","Traveling",70.7348484586115
"33","2","2020","Volunteering",6.29248866466954
"34","2","2020","Work",199.623439729884
"35","3","2020","Caring for Household",23.8725766058208
"36","3","2020","Caring for Non-Household",4.23076463050868
"37","3","2020","Education",42.0741586187045
"38","3","2020","Eating and Drinking",65.2648597896581
"39","3","2020","Civic Duties",0.360679692216809
"40","3","2020","Household Activities",112.495095874284
"41","3","2020","Household Services",0.258652249280925
"42","3","2020","Personal Care",576.481810512474
"43","3","2020","Phone Calls",6.98390674699197
"44","3","2020","Care Services",4.03067432406765
"45","3","2020","Consumer Purchasing",20.8377356596316
"46","3","2020","Religious/Spiritual Activities",6.2326121897128
"47","3","2020","Socializing and Leisure",284.290859572213
"48","3","2020","Sports and Exercise",21.6394183938754
"49","3","2020","Traveling",57.7337779738432
"50","3","2020","Volunteering",8.24536483466607
"51","3","2020","Work",195.692611688895
"52","5","2020","Caring for Household",26.8781541713205
"53","5","2020","Caring for Non-Household",5.67803830151373
"54","5","2020","Education",14.8780623273986
"55","5","2020","Eating and Drinking",65.1653387840793
"56","5","2020","Civic Duties",0.132057494711371
"57","5","2020","Household Activities",131.70049023783
"58","5","2020","Household Services",0.426422643919783
"59","5","2020","Personal Care",580.158331802206
"60","5","2020","Phone Calls",9.08539347490832
"61","5","2020","Care Services",1.89928615365424
"62","5","2020","Consumer Purchasing",14.8527968899115
"63","5","2020","Religious/Spiritual Activities",6.66432689239831
"64","5","2020","Socializing and Leisure",334.723611256363
"65","5","2020","Sports and Exercise",19.3577947608129
"66","5","2020","Traveling",31.5302804336643
"67","5","2020","Volunteering",2.6814586454589
"68","5","2020","Work",183.023468602505
"69","6","2020","Caring for Household",23.0101545333607
"70","6","2020","Caring for Non-Household",6.5732087771045
"71","6","2020","Education",10.5377612102466
"72","6","2020","Eating and Drinking",66.1371639519466
"73","6","2020","Civic Duties",0.136687804049646
"74","6","2020","Household Activities",127.929065468422
"75","6","2020","Household Services",1.86862305275355
"76","6","2020","Personal Care",583.019998747253
"77","6","2020","Phone Calls",9.81788553918839
"78","6","2020","Care Services",5.81833963359499
"79","6","2020","Consumer Purchasing",14.3790611187353
"80","6","2020","Religious/Spiritual Activities",6.16206346921706
"81","6","2020","Socializing and Leisure",318.228295384555
"82","6","2020","Sports and Exercise",28.8213999739079
"83","6","2020","Traveling",43.3027281387688
"84","6","2020","Volunteering",4.14427935871316
"85","6","2020","Work",176.650922438604
"86","7","2020","Caring for Household",21.1322225880615
"87","7","2020","Caring for Non-Household",6.49562380369924
"88","7","2020","Education",5.24110146633883
"89","7","2020","Eating and Drinking",66.0164170102866
"90","7","2020","Civic Duties",0.121975351965495
"91","7","2020","Household Activities",128.101418612492
"92","7","2020","Household Services",1.22652895564736
"93","7","2020","Personal Care",572.902784157
"94","7","2020","Phone Calls",11.2745757301789
"95","7","2020","Care Services",5.23991670335487
"96","7","2020","Consumer Purchasing",16.3408825427228
"97","7","2020","Religious/Spiritual Activities",4.77042599464896
"98","7","2020","Socializing and Leisure",303.179546103265
"99","7","2020","Sports and Exercise",26.8367144988721
"100","7","2020","Traveling",54.613508923527
"101","7","2020","Volunteering",5.09479676483223
"102","7","2020","Work",199.168236353912
"103","8","2020","Caring for Household",21.0640774448802
"104","8","2020","Caring for Non-Household",11.0192033154906
"105","8","2020","Education",8.04016064834499
"106","8","2020","Eating and Drinking",66.8434335640421
"107","8","2020","Civic Duties",0.166982646683695
"108","8","2020","Household Activities",126.891131008354
"109","8","2020","Household Services",0.690404078518351
