"","date","tsne1","tsne2","MONTH","YEAR","time_period","date_label","ACTIVITY","value"
"1","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Caring for Household",21.6252933944571
"2","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Caring for Non-Household",5.87441487151348
"3","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Education",34.8463429072379
"4","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Eating and Drinking",63.8710766733274
"5","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Civic Duties",0.328490240074047
"6","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Household Activities",97.2686377290784
"7","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Household Services",0.390059800862007
"8","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Personal Care",581.090422184727
"9","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Phone Calls",6.98275227913471
"10","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Care Services",5.65851953104129
"11","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Consumer Purchasing",18.4765014305266
"12","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Religious/Spiritual Activities",11.4239658496934
"13","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Socializing and Leisure",277.034334703064
"14","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Sports and Exercise",15.6047353402734
"15","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Traveling",70.3175154691803
"16","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Volunteering",6.97147995107005
"17","2019-01",-7.78291832828712,45.3247221112903,1,"2019","Pre-COVID Peak","Jan 2019","Work",209.322884708616
"18","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Caring for Household",25.5392050761609
"19","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Caring for Non-Household",5.97185295171778
"20","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Education",37.2920848426139
"21","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Eating and Drinking",63.2263152263631
"22","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Civic Duties",0.435553789768146
"23","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Household Activities",109.44460038664
"24","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Household Services",0.542615961898887
"25","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Personal Care",592.546291981711
"26","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Phone Calls",12.2677713924422
"27","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Care Services",5.84400273137219
"28","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Consumer Purchasing",15.8151508576431
"29","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Religious/Spiritual Activities",7.6138043785617
"30","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Socializing and Leisure",306.765654778359
"31","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Sports and Exercise",14.1367989818979
"32","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Traveling",45.0286762617157
"33","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Volunteering",5.72795153970168
"34","2021-01",54.4725267036062,-34.000276340802,1,"2021","COVID Peak","Jan 2021","Work",182.561693815775
"35","2019-02",4.90374749831663,37.6207518244802,2,"2019","Pre-COVID Peak","Feb 2019","Caring for Household",26.2666541591801
"36","2019-02",4.90374749831663,37.6207518244802,2,"2019","Pre-COVID Peak","Feb 2019","Caring for Non-Household",10.6090963910472
"37","2019-02",4.90374749831663,37.6207518244802,2,"2019","Pre-COVID Peak","Feb 2019","Education",34.3982188913162
"38","2019-02",4.90374749831663,37.6207518244802,2,"2019","Pre-COVID Peak","Feb 2019","Eating and Drinking",65.3492826318631
"39","2019-02",4.90374749831663,37.6207518244802,2,"2019","Pre-COVID Peak","Feb 2019","Civic Duties",0.535514536167422
"40","2019-02",4.90374749831663,37.6207518244802,2,"2019","Pre-COVID Peak","Feb 2019","Household Activities",100.148281116195
"41","2019-02",4.90374749831663,37.6207518244802,2,"2019","Pre-COVID Peak","Feb 2019","Household Services",1.3646476634576
"42","2019-02",4.90374749831663,37.6207518244802,2,"2019","Pre-COVID Peak","Feb 2019","Personal Care",574.085738379235
